molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,Activity
CHEMBL169287,OB1N=C(c2cnccn2)Nc2ccccc21,MIC,572000.0,nM,No
CHEMBL169287,OB1N=C(c2cnccn2)Nc2ccccc21,MIC,572000.0,nM,No
CHEMBL168899,O=C1Nc2ccccc2B(O)N1c1ccccc1,MIC,33600.0,nM,No
CHEMBL168899,O=C1Nc2ccccc2B(O)N1c1ccccc1,MIC,67200.0,nM,No
CHEMBL435859,OB1c2ccccc2N=C(S)N1c1cccnc1,MIC,31400.0,nM,No
CHEMBL435859,OB1c2ccccc2N=C(S)N1c1cccnc1,MIC,63000.0,nM,No
CHEMBL614,NC(=O)c1cnccn1,MIC,1600000.0,nM,No
CHEMBL614,NC(=O)c1cnccn1,MIC,1600000.0,nM,No
CHEMBL168634,Cc1ccc(S(=O)(=O)N2N=Cc3ccccc3B2O)cc1,MIC,40000.0,nM,No
CHEMBL168634,Cc1ccc(S(=O)(=O)N2N=Cc3ccccc3B2O)cc1,MIC,320000.0,nM,No
CHEMBL64,NNC(=O)c1ccncc1,MIC,20.0,nM,Yes
CHEMBL64,NNC(=O)c1ccncc1,MIC,160.0,nM,Yes
CHEMBL169233,NCCOB(c1ccccc1)c1ccccc1,MIC,71000.0,nM,No
CHEMBL169233,NCCOB(c1ccccc1)c1ccccc1,MIC,285000.0,nM,No
CHEMBL354944,CCCCN1B(O)c2ccccc2NC1=O,MIC,587000.0,nM,No
CHEMBL354944,CCCCN1B(O)c2ccccc2NC1=O,MIC,587000.0,nM,No
CHEMBL64,NNC(=O)c1ccncc1,MIC,150.0,nM,Yes
CHEMBL289596,O=c1oc(-c2ccncc2)ns1,MIC,50000.0,nM,No
CHEMBL614,NC(=O)c1cnccn1,MIC,400000.0,nM,No
CHEMBL38506,O=c1oc(-c2cnccn2)ns1,MIC,25000.0,nM,No
CHEMBL38498,Sc1nc(-c2ccncc2)no1,MIC,1600000.0,nM,No
CHEMBL290241,CC(C)(C)C(=O)OCn1nnnc1-c1cnccn1,MIC,50000.0,nM,No
