activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,18127365,[],CHEMBL4028447,Inhibition of Mycobacterium tuberculosis ATCC 25618 H37Rv Pks13 thioesterase domain expressed in Escherichia coli BL21(DE3) using 4-MUH as substrate by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,CCOC(=O)c1c(-c2ccccc2)oc2ccc(O)c(CN3CCC(C)CC3)c12,,,CHEMBL4024797,J Med Chem,2018,"{'bei': '16.74', 'le': '0.31', 'lle': '1.38', 'sei': '10.47'}",CHEMBL4063356,,CHEMBL4063356,6.58,0,http://www.openphacts.org/units/Nanomolar,3006052,=,1,1,=,,IC50,nM,,260.0,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,IC50,uM,UO_0000065,,0.26
,19164286,[],CHEMBL4383981,Inhibition of Mycobacterium tuberculosis H37Rv N-terminal His6-tagged Pks13 thioesterase domain expressed in Escherichia coli BL21(DE3) using 4-MUH as substrate measured at 10 mins interval over 110 mins by fluorescence assay,B,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)c1c(-c2ccc(O)cc2)oc2ccc(O)c(CN3CCCCC3)c12,,,CHEMBL4382229,Eur J Med Chem,2019,,CHEMBL4443524,,CHEMBL4443524,,0,http://www.openphacts.org/units/MicrogramPerMilliliter,3198390,=,1,1,=,,IC50,ug.mL-1,,0.19,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,IC50,ug ml-1,UO_0000274,,0.19
,22058278,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-5.76', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-5.76021163171075'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '2.002', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '2.00213681468859'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '76.17', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '76.1708669631582'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '100.0', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '100.0'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,,,CHEMBL3988442,,2021,,CHEMBL3442631,,CHEMBL3442631,4.22,0,http://www.openphacts.org/units/Nanomolar,2966526,=,33,1,=,,IC50,nM,,60252.77,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.22002298548261
,22058279,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-9.909', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-9.90850951060539'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '1.389', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '1.38925852530932'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '62.21', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '62.208419599724'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '62.21', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '62.208419599724'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)c1cc2c(nc1NC(C)C)CCNCC2,,,CHEMBL3988442,,2021,,CHEMBL3442631,,CHEMBL3442631,4.60,0,http://www.openphacts.org/units/Nanomolar,2966526,=,33,1,=,,IC50,nM,,24975.53,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.60248529399195
,22058281,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-12.01', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-12.0109445771391'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '1.468', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '1.46812212209289'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '54.66', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '54.6588755527479'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '100.0', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '100.0'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,,,CHEMBL3988442,,2021,,CHEMBL3442632,,CHEMBL3442632,4.14,0,http://www.openphacts.org/units/Nanomolar,2958159,=,33,1,=,,IC50,nM,,71971.34,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.14284041217382
,22058283,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-37.92', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-37.9187786042062'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '1.32', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '1.31965731673801'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '73.57', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '73.5684005114057'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '110.32', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '110.317285052542'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CNC(=O)c1cc2c(nc1NCC1CC1)CCNCC2,,,CHEMBL3988442,,2021,,CHEMBL3442632,,CHEMBL3442632,4.61,0,http://www.openphacts.org/units/Nanomolar,2958159,=,33,1,=,,IC50,nM,,24743.14,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.60654522988401
,22058386,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-9.241', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-9.24106658997355'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '0.7862', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '0.7861800062394'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '64.86', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '64.8610233733418'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '97.17', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '97.1702193204821'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2cc(C[C@@H]3C[C@H](N(C)C)C3(C)C)no2)cc1,,,CHEMBL3988442,,2021,,CHEMBL3437512,,CHEMBL3437512,4.38,0,http://www.openphacts.org/units/Nanomolar,2909913,=,33,1,=,,IC50,nM,,41541.94,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.38151321847828
,22058387,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '41.78', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '41.7804992934527'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,COc1ccc(-c2cc(C[C@@H]3C[C@H](N(C)C)C3(C)C)no2)cc1,,,CHEMBL3988442,,2021,,CHEMBL3437512,,CHEMBL3437512,,0,http://www.openphacts.org/units/Nanomolar,2909913,<,33,1,>,,IC50,nM,,100000.0,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.0
,22058396,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '-10.28', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '-10.2796411777075'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '0.6216', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '0.62156869231142'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '65.72', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '65.7228953481072'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '100.0', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '100.0'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CCc1ccc(S(=O)(=O)NCC2CCN(c3cnccn3)CC2)s1,,,CHEMBL3988442,,2021,,CHEMBL3439757,,CHEMBL3439757,4.74,0,http://www.openphacts.org/units/Nanomolar,2923196,=,33,1,=,,IC50,nM,,18367.18,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.73595755177842
,22058397,"[{'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'BOTTOM', 'standard_units': None, 'standard_value': '8.951', 'text_value': None, 'type': 'BOTTOM', 'units': None, 'value': '8.95136932950853'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'HILLSLOPE', 'standard_units': None, 'standard_value': '0.9575', 'text_value': None, 'type': 'HILLSLOPE', 'units': None, 'value': '0.95751143056083'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'MAX_EFFECT', 'standard_units': None, 'standard_value': '78.81', 'text_value': None, 'type': 'MAX_EFFECT', 'units': None, 'value': '78.8110774289678'}, {'comments': None, 'relation': '=', 'result_flag': 0, 'standard_relation': '=', 'standard_text_value': None, 'standard_type': 'TOP', 'standard_units': None, 'standard_value': '100.0', 'text_value': None, 'type': 'TOP', 'units': None, 'value': '100.0'}]",CHEMBL4649965,Mycobacterium tuberculosis Polyketide synthase 13 Thioesterase (PKS13),F,,,BAO_0000190,BAO_0000019,assay format,CCc1ccc(S(=O)(=O)NCC2CCN(c3cnccn3)CC2)s1,,,CHEMBL3988442,,2021,,CHEMBL3439757,,CHEMBL3439757,4.53,0,http://www.openphacts.org/units/Nanomolar,2923196,=,33,1,=,,IC50,nM,,29492.34,CHEMBL4105939,Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv),Polyketide synthase Pks13,83332,,,pIC50,,UO_0000065,,4.53029078259575
