molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,Activity
CHEMBL574280,O=C(N/N=C/c1ccc(F)cc1)c1ccc(N2CCOCC2)cc1,IC50,46644452.52,nM,No
CHEMBL574967,O=C(N/N=C/c1ccc(O)cc1)c1ccc(N2CCOCC2)cc1,IC50,766125645.01,nM,No
CHEMBL574968,COc1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,IC50,306549067.94,nM,No
CHEMBL584002,CN(C)c1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,IC50,188234836.01,nM,No
CHEMBL572644,Cc1ccc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc1,IC50,227509743.08,nM,No
CHEMBL583309,O=C(N/N=C\C=C\c1ccccc1)c1ccc(N2CCOCC2)cc1,IC50,817146641.35,nM,No
CHEMBL573100,COc1cc(/C=N/NC(=O)c2ccc(N3CCOCC3)cc2)cc(OC)c1OC,IC50,707456921.63,nM,No
CHEMBL64,NNC(=O)c1ccncc1,IC50,59579931.56,nM,No
CHEMBL574275,O=C(N/N=C1\C=CCO1)c1ccc(N2CCOCC2)cc1,IC50,126020152.26,nM,No
CHEMBL575398,O=C(N/N=C/c1cccc([N+](=O)[O-])c1)c1ccc(N2CCOCC2)cc1,IC50,71696837.56,nM,No
CHEMBL575399,O=C(N/N=C/c1ccc(Cl)cc1)c1ccc(N2CCOCC2)cc1,IC50,392916258.61,nM,No
CHEMBL606867,COc1ccc(Cn2cnc3c(Cc4ccco4)nc(Cl)nc32)cc1,IC50,280000.0,nM,No
CHEMBL364019,COc1ccc(Cn2cnc3c(-c4ccco4)nc(Cl)nc32)cc1,IC50,590.0,nM,Yes
CHEMBL604262,COc1ccc(Cn2cnc3c(-c4cc5ccccc5o4)nc(Cl)nc32)cc1,IC50,510.0,nM,Yes
CHEMBL594885,COc1ccc(Cn2cnc3c(/C=C4\OCc5ccccc54)nc(Cl)nc32)cc1,IC50,480.0,nM,Yes
CHEMBL596024,COc1ccc(Cn2cnc3c(Cc4ccccc4)nc(Cl)nc32)cc1,IC50,20000.0,nM,No
CHEMBL595337,COc1ccc(Cn2cnc3c(/C=C/c4ccccc4)nc(Cl)nc32)cc1,IC50,8000.0,nM,Yes
CHEMBL594645,C(=C1\OCc2ccccc21)\c1ncnc2c1ncn2Cc1ccccc1,IC50,4300.0,nM,Yes
CHEMBL405402,CCCCc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,91.0,nM,Yes
CHEMBL261521,CC(C)Cc1ccc(Oc2ccc(Cl)cc2Cl)c(O)c1,IC50,96.0,nM,Yes
CHEMBL405973,Oc1cc(Cc2ccccc2)ccc1Oc1ccc(Cl)cc1Cl,IC50,51.0,nM,Yes
CHEMBL259880,Oc1cc(CCCc2ccccc2)ccc1Oc1ccc(Cl)cc1Cl,IC50,50.0,nM,Yes
CHEMBL260061,Oc1cc(CCc2ccccc2)ccc1Oc1ccc(Cl)cc1Cl,IC50,21.0,nM,Yes
CHEMBL1224745,CCCCCc1ccc(Oc2ccccc2)c(O)c1,IC50,17.0,nM,Yes
CHEMBL264682,CCCCCCc1ccc(Oc2ccccc2)c(O)c1,IC50,11.0,nM,Yes
CHEMBL505886,CCCCCCCCc1ccc(Oc2ccccc2)c(O)c1,IC50,5.0,nM,Yes
CHEMBL1224746,CCCCCCCCCCCCCCc1ccc(Oc2ccccc2)c(O)c1,IC50,150.0,nM,Yes
CHEMBL239673,Cc1ccc(C(=O)N2CCN(c3cccc(Cl)c3)CC2)cc1C,IC50,990.0,nM,Yes
CHEMBL392127,Cc1ccc(C(=O)N2CCN(C3c4ccccc4-c4ccccc43)CC2)cc1,IC50,400.0,nM,Yes
CHEMBL216579,O=C(c1ccc2[nH]ccc2c1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,IC50,200.0,nM,Yes
CHEMBL240533,O=C(c1ccccc1)N1CCN(C2c3ccccc3-c3ccccc32)CC1,IC50,90.0,nM,Yes
CHEMBL414086,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CCCCCCC2)C1,IC50,320.0,nM,Yes
CHEMBL1224754,CN(C(=O)C1CC(=O)N(C2CCCCCC2)C1)c1cc(-c2ccccc2)c(O)c(-c2ccccc2)c1,IC50,360.0,nM,Yes
CHEMBL426702,CN(Cc1c2ccccc2cc2ccccc12)C(=O)C1CC(=O)N(C2CC3CCC2C3)C1,IC50,460.0,nM,Yes
CHEMBL386324,O=C(Nc1cc(Br)cc(C(F)(F)F)c1)C1CC(=O)N(C2CCCCC2)C1,IC50,850.0,nM,Yes
CHEMBL371502,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,IC50,39900.0,nM,No
CHEMBL371502,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COS(=O)(=O)NC(=O)c2ccccc2O)[C@@H](O)[C@H]1O,IC50,2200.0,nM,Yes
CHEMBL475335,CC(=O)c1c(C)[n+]([O-])c2ccccc2[n+]1[O-],IC50,6830.0,nM,Yes
CHEMBL517159,Cc1c(C(=O)/C=C/c2cccc([N+](=O)[O-])c2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,2180.0,nM,Yes
CHEMBL463792,Cc1c(C(=O)/C=C/c2ccc([N+](=O)[O-])cc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,250000.0,nM,No
CHEMBL511882,Cc1c(C(=O)/C=C/c2ccc(F)cc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,5830.0,nM,Yes
CHEMBL463791,Cc1c(C(=O)/C=C/c2ccc(Br)cc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,3710.0,nM,Yes
CHEMBL463790,Cc1c(C(=O)/C=C/c2ccc(Cl)c(Cl)c2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,1030.0,nM,Yes
CHEMBL498090,Cc1c(C(=O)/C=C/c2ccc(Cl)cc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,2640.0,nM,Yes
CHEMBL498089,Cc1ccc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc1,IC50,5580.0,nM,Yes
CHEMBL237949,Cc1c(C(=O)/C=C/c2ccc3c(c2)OCO3)[n+]([O-])c2ccccc2[n+]1[O-],IC50,19700.0,nM,No
CHEMBL237950,COc1cc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc(OC)c1OC,IC50,6880.0,nM,Yes
CHEMBL497057,COc1ccc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc1OC,IC50,9150.0,nM,Yes
CHEMBL497741,COc1ccc(/C=C/C(=O)c2c(C)[n+]([O-])c3ccccc3[n+]2[O-])cc1,IC50,23100.0,nM,No
CHEMBL497740,Cc1c(C(=O)/C=C/c2ccccc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,3880.0,nM,Yes
CHEMBL1287817,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(CO[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)[C@H]3CC[C@@]21C,IC50,40000.0,nM,No
CHEMBL1288405,CC(=O)N[C@H]1[C@H](OC[C@]23CCC(=O)C=C2CC[C@@H]2[C@@H]3CC[C@@]3(C)[C@H]2CC[C@@H]3[C@H](C)CCCC(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O,IC50,40000.0,nM,No
CHEMBL1092306,Cc1c(C(=O)NCc2ccccc2)[n+]([O-])c2ccccc2[n+]1[O-],IC50,4910.0,nM,Yes
CHEMBL1089835,Cc1c(C(=O)NCc2ccccc2)[n+]([O-])c2cc(Cl)ccc2[n+]1[O-],IC50,1100.0,nM,Yes
CHEMBL1089834,COc1ccc2c(c1)[n+]([O-])c(C(=O)NCc1ccccc1)c(C)[n+]2[O-],IC50,18870.0,nM,No
CHEMBL1089966,Cc1ccc2c(c1)[n+]([O-])c(C(=O)NCc1ccccc1)c(C)[n+]2[O-],IC50,8350.0,nM,Yes
