molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,Activity
CHEMBL312865,CCCCCCCCCCCCCCC(CO)NC(=O)OC(C)(C)C,MIC,84000.0,nM,No
CHEMBL85287,CCCCCCCCCCCCCCC(N)CO,MIC,24000.0,nM,No
CHEMBL86788,CCCCCCCCCCCCCCC(N)COCc1ccccc1,MIC,3600.0,nM,Yes
CHEMBL92431,CCCCCCCCCCCCCCC(COCc1ccccc1)NCC,MIC,16600.0,nM,No
CHEMBL87006,CCCCCCCCCCCCCCC(COCc1ccccc1)N(CC)CC,MIC,3100.0,nM,Yes
CHEMBL86335,CCCCCCCCCCCCCCC(COCc1ccccc1)NC(=O)CCC(=O)O,MIC,140000.0,nM,No
CHEMBL89863,CCCCCCCCCCCCCCC(COCc1ccccc1)NC(=O)CCCC(=O)O,MIC,68000.0,nM,No
CHEMBL430635,CCCCCCCCCCCCCCC(COCc1ccccc1)NCC(=O)OCC,MIC,72000.0,nM,No
CHEMBL87060,CCCCCCCCCCCCCCC(CO)N(CC)CC,MIC,20000.0,nM,No
CHEMBL89187,CCCCCCCCCCCCCCC(CN)NC(=O)OC(C)(C)C,MIC,30000.0,nM,No
CHEMBL39594,CCCCCCCCCCCCCCC(N)CN,MIC,12600.0,nM,No
CHEMBL329377,CCCCCCCCCCCCCCC(CNCC)NC(=O)OC(C)(C)C,MIC,32000.0,nM,No
CHEMBL329438,CCCCCCCCCCCCCCC(CN(CC)CC)NC(=O)OC(C)(C)C,MIC,15200.0,nM,No
CHEMBL374700,CCCCCCCCCCCCCCC(CNC(=O)CCCC(=O)O)NC(=O)OC(C)(C)C,MIC,133000.0,nM,No
CHEMBL314314,CCCCCCCCCCCCCCC(CN(CC(=O)OCC)CC(=O)OCC)NC(=O)OC(C)(C)C,MIC,59000.0,nM,No
CHEMBL89162,CCCCCCCCCCCCCCC(N)CN(CC)CC,MIC,4000.0,nM,Yes
CHEMBL88922,CCCCCCCCCCCCCCC(O)CNC1CCCCC1,MIC,33000.0,nM,No
CHEMBL88921,CCCCCCCCCCCCCCC(O)CNCc1ccccc1,MIC,36000.0,nM,No
CHEMBL44884,CC[C@@H](CO)NCCN[C@@H](CC)CO,MIC,9900.0,nM,Yes
CHEMBL374478,CO[C@H]1/C=C/O[C@@]2(C)Oc3c(C)c(O)c4c(O)c(c(/C=N/N5CCN(C)CC5)c(O)c4c3C2=O)NC(=O)/C(C)=C\C=C\[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C,MIC,152.0,nM,Yes
CHEMBL573416,CCOC(=O)C1C(c2ccccc2)N(Cc2ccccc2)C(c2ccccc2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,MIC,42510.0,nM,No
CHEMBL573235,CCOC(=O)C1C(c2ccc(Cl)cc2)N(Cc2ccccc2)C(c2ccc(Cl)cc2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,MIC,9510.0,nM,Yes
CHEMBL583107,CCOC(=O)C1C(c2ccc(F)cc2)N(Cc2ccccc2)C(c2ccc(F)cc2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,MIC,5020.0,nM,Yes
CHEMBL573420,CCOC(=O)C1C(c2cccc(F)c2)N(Cc2ccccc2)C(c2cccc(F)c2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,MIC,10010.0,nM,No
CHEMBL582888,CCOC(=O)C1C(c2ccc(C)cc2)N(Cc2ccccc2)C(c2ccc(C)cc2)C(C(=O)c2ccc(Cl)cc2)S1(=O)=O,MIC,20290.0,nM,No
