molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,Activity
CHEMBL196076,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccc(F)cc3)CC2)c1O,IC50,13970.0,nM,No
CHEMBL64,NNC(=O)c1ccncc1,IC50,45570.0,nM,No
CHEMBL382508,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(C)C)c1O,IC50,20000.0,nM,No
CHEMBL371672,CCN(CC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,IC50,18350.0,nM,No
CHEMBL198453,CCCCN(CCCC)Cc1cccc(/C(C)=N\NC(=O)c2ccncc2)c1O,IC50,15760.0,nM,No
CHEMBL198317,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCCC2)c1O,IC50,17730.0,nM,No
CHEMBL199042,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCCC2)c1O,IC50,18470.0,nM,No
CHEMBL373203,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCOCC2)c1O,IC50,17630.0,nM,No
CHEMBL198433,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(c2ccccc2)c2ccccc2)c1O,IC50,14320.0,nM,No
CHEMBL198434,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCNCC2)c1O,IC50,17680.0,nM,No
CHEMBL199044,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(C)CC2)c1O,IC50,17200.0,nM,No
CHEMBL196824,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN(Cc2ccccc2)Cc2ccccc2)c1O,IC50,13460.0,nM,No
CHEMBL372195,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3cc4c(cc3F)c(=O)c(C(=O)O)cn4C3CC3)CC2)c1O,IC50,10440.0,nM,No
CHEMBL197582,CCn1cc(C(=O)O)c(=O)c2cc(F)c(N3CCN(Cc4cccc(/C(C)=N\NC(=O)c5ccncc5)c4O)C(C)C3)c(F)c21,IC50,10100.0,nM,No
CHEMBL197852,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(c3ccccn3)CC2)c1O,IC50,14520.0,nM,No
CHEMBL381467,C/C(=N/NC(=O)c1ccncc1)c1cccc(CN2CCN(Cc3ccccc3)CC2)c1O,IC50,14090.0,nM,No
CHEMBL227960,NNC(=O)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,194.98,nM,Yes
CHEMBL227499,O=C(N/N=C/c1ccnc2cc(Cl)ccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,660.69,nM,Yes
CHEMBL375912,O=C(N/N=C/c1ccnc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,69.18,nM,Yes
CHEMBL226983,O=C(N/N=C/c1ccncc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,6456.54,nM,Yes
CHEMBL373945,O=C(N/N=C/c1cccnc1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,13489.63,nM,No
CHEMBL228193,O=C(N/N=C/c1ccccn1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,2884.03,nM,Yes
CHEMBL227657,O=C(N/N=C/c1ccco1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,79.43,nM,Yes
CHEMBL227603,O=C(N/N=C/c1cccs1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,75.86,nM,Yes
CHEMBL227437,O=C(N/N=C/c1ccc[nH]1)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,79.43,nM,Yes
CHEMBL387667,O=C(N/N=C/c1c2ccccc2cc2ccccc12)c1cc(C23CC4CC(CC(C4)C2)C3)c2ccccc2n1,IC50,6309.57,nM,Yes
CHEMBL227630,CN(C)c1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,IC50,3311.31,nM,Yes
CHEMBL227505,COc1ccc(/C=N/NC(=O)c2cc(C34CC5CC(CC(C5)C3)C4)c3ccccc3n2)c2ccccc12,IC50,9549.93,nM,Yes
